Sr.,Stock Name,Symbol,close,%_change,volume,Add Column
"176","HDB Financial Services Ltd","HDBFS","588.45","1.71%","5,33,784",""
"177","Indraprastha Gas Limited","IGL","148.81","1.71%","22,26,131",""
"178","Bharat Forge Limited","BHARATFORG","1,670.6","1.7%","12,11,548",""
"179","Zensar Technologies Limited","ZENSARTECH","552.7","1.66%","4,55,252",""
"180","Hindustan Copper Limited","HINDCOPPER","503.35","1.66%","1,30,81,861",""
"181","Ashok Leyland Limited","ASHOKLEY","150.91","1.66%","2,30,12,980",""
"182","Sagility India Ltd","SAGILITY","42.42","1.65%","1,44,09,691",""
"183","Manappuram Finance Limited","MANAPPURAM","260","1.64%","33,74,294",""
"184","The Great Eastern Shipping Company Limited","GESHIP","1,463","1.63%","7,85,318",""
"185","HDFC Asset Management Company Ltd","HDFCAMC","2,386.6","1.62%","8,85,512",""
"186","Alivus Life Sciences Ltd","ALIVUS","1,005.6","1.62%","2,76,665",""
"187","HFCL Ltd","HFCL","72.88","1.62%","1,71,52,455",""
"188","Bharat Coking Coal Ltd","BHARATCOAL","32.64","1.62%","1,00,09,017",""
"189","Central Depository Services Ltd","CDSL","1,205.3","1.6%","21,44,856",""
"190","Kajaria Ceramics Limited","KAJARIACER","989.45","1.58%","2,06,515",""
"191","Gallant Ispat Ltd","GALLANTT","564.6","1.57%","76,182",""
"192","Yes Bank Limited","YESBANK","18.15","1.57%","11,10,04,079",""
"193","Persistent Systems Limited","PERSISTENT","5,309.4","1.56%","6,06,786",""
"194","Minda Corporation Limited","MINDACORP","509.2","1.56%","92,185",""
"195","Bajaj Holdings & Investment Limited","BAJAJHLDNG","9,131","1.54%","48,445",""
"196","Welspun Living Ltd","WELSPUNLIV","117.76","1.54%","12,05,553",""
"197","Syrma SGS Technology Ltd","SYRMA","808.5","1.53%","8,56,948",""
"198","Glaxosmithkline Pharmaceuticals Limited","GLAXO","2,346.6","1.52%","37,644",""
"199","National Aluminium Company Limited","NATIONALUM","407.85","1.51%","1,30,20,935",""
"200","Nbcc (india) Limited","NBCC","84.34","1.5%","1,23,96,717",""
"201","Solar Industries India Limited","SOLARINDS","13,303","1.48%","1,35,192",""
"202","Cochin Shipyard Ltd","COCHINSHIP","1,333.9","1.48%","17,34,231",""
"203","Laurus Labs Limited","LAURUSLABS","1,058.2","1.47%","19,52,469",""
"204","Pi Industries Limited","PIIND","2,837.7","1.45%","1,91,729",""
"205","Finolex Cables Limited","FINCABLES","809.2","1.45%","5,53,558",""
"206","Bikaji Foods International Ltd","BIKAJI","636","1.44%","1,58,953",""
"207","Tata Investment Corporation Limited","TATAINVEST","592","1.44%","4,23,061",""
"208","IDFC First Bank Ltd","IDFCFIRSTB","61.08","1.43%","4,10,63,566",""
"209","ICICI Lombard General Insurance Company Ltd","ICICIGI","1,713","1.42%","3,15,391",""
"210","State Bank Of India Ltd","SBIN","1,032.75","1.41%","2,35,76,634",""
"211","Crompton Greaves Consumer Electricals Limited","CROMPTON","235.18","1.41%","18,28,702",""
"212","Sanofi Consumer Healthcare India Ltd","SANOFICONR","4,641.1","1.38%","7,396",""
"213","Pidilite Industries Limited","PIDILITIND","1,291.2","1.38%","12,30,910",""
"214","Life Insurance Corporation of India Ltd","LICI","744.95","1.37%","10,95,521",""
"215","Aegis Logistics Ltd","AEGISLOG","597.35","1.37%","17,83,672",""
"216","Samvardhana Motherson International Ltd","MOTHERSON","108.26","1.36%","3,20,32,534",""
"217","MTAR Technologies Ltd","MTARTECH","3,624.5","1.35%","2,63,854",""
"218","Tata Motors Passenger Vehicles Ltd","TMPV","307.4","1.35%","64,25,909",""
"219","Voltas Limited","VOLTAS","1,252","1.34%","12,13,038",""
"220","Gabriel India Limited","GABRIEL","888.45","1.34%","1,93,813",""
"221","Dlf Limited","DLF","529.2","1.33%","50,46,388",""
"222","Iti Limited","ITI","258.22","1.33%","5,81,799",""
"223","Sundaram Finance Limited","SUNDARMFIN","4,598","1.32%","68,484",""
"224","Bharat Electronics Limited","BEL","427.15","1.32%","1,23,27,836",""
"225","K.p.r. Mill Limited","KPRMILL","840.8","1.31%","1,97,661",""
"226","Urban Company Ltd","URBANCO","123.4","1.31%","33,45,446",""
"227","HBL Engineering Ltd","HBLENGINE","676.05","1.3%","17,28,963",""
"228","Icici Bank Limited","ICICIBANK","1,231.4","1.28%","1,00,58,414",""
"229","The Ramco Cements Limited","RAMCOCEM","937","1.28%","84,472",""
"230","Edelweiss Financial Services Limited","EDELWEISS","107.32","1.28%","40,66,416",""
"231","TATA Consumer Products Ltd","TATACONSUM","1,055.2","1.27%","21,79,297",""
"232","Shriram Pistons & Rings Limited","SHRIPISTON","2,964.6","1.24%","95,144",""
"233","United Spirits Ltd","UNITDSPR","1,236.3","1.24%","9,48,501",""
"234","Union Bank Of India Ltd","UNIONBANK","174.12","1.24%","1,66,41,379",""
"235","Hindalco Industries Limited","HINDALCO","927.45","1.22%","55,55,538",""
"236","Wipro Limited","WIPRO","197.29","1.22%","2,32,82,287",""
"237","Nuvoco Vistas Corporation Ltd","NUVOCO","296.4","1.19%","97,774",""
"238","Ingersoll Rand (india) Limited","INGERRAND","3,691.7","1.17%","6,260",""
"239","Nippon Life India Asset Management Ltd","NAM-INDIA","839.65","1.17%","16,08,826",""
"240","IIFL Finance Ltd","IIFL","439.95","1.16%","16,97,373",""
"241","Cupid Limited","CUPID","88.55","1.15%","1,36,95,625",""
"242","Mphasis Limited","MPHASIS","2,235.2","1.14%","6,03,188",""
"243","Jsw Energy Limited","JSWENERGY","496.7","1.14%","27,65,752",""
"244","Cummins India Limited","CUMMINSIND","4,698.3","1.11%","6,55,461",""
"245","Tata Communications Limited","TATACOMM","1,402.7","1.11%","2,61,005",""
"246","Sarda Energy & Minerals Limited","SARDAEN","524.95","1.11%","2,64,759",""
"247","Nhpc Limited","NHPC","76.16","1.1%","80,19,672",""
"248","Computer Age Management Services Ltd","CAMS","668.1","1.09%","8,76,484",""
"249","ITC Hotels Ltd","ITCHOTELS","149.7","1.09%","79,32,298",""
